datetime,vol,name,temperature,special,curry
2019-01-06,1385,カレー入りソーセージカツ,7.3,0,1
2019-01-07,1376,豚肉の生姜焼,9.8,0,0
2019-01-08,1215,鶏チリソース,10.9,0,0
2019-01-09,837,手作りロースカツ,5.1,0,0
2019-01-13,1341,鶏の照り焼きマスタード,5.8,0,0
2019-01-14,1343,さんま辛味焼,2.9,0,0
2019-01-15,1062,カレイ唐揚げ野菜あんかけ,7.0,0,0
2019-01-16,935,回鍋肉,7.8,0,0
2019-01-19,1302,ジューシーメンチカツ,6.5,0,0
2019-01-20,1213,サバ焼味噌掛け,10.4,0,0
2019-01-21,1232,手作りひれかつとカレー,7.4,0,1
2019-01-22,1059,酢豚,8.5,0,0
2019-01-23,930,鶏のレモンペッパー焼orカレー,10.1,0,1
2019-01-26,1202,チンジャオロース,5.1,0,0
2019-01-27,1236,海老フライタルタル,12.6,0,0
2019-01-28,1277,チーズ入りメンチカツ,10.3,0,0
2019-01-29,1018,鶏の唐揚げ,15.3,0,0
2019-01-30,996,メダイ照り焼,14.1,0,0
2019-02-02,1417,ハンバーグカレーソース,15.9,0,1
2019-02-03,1245,さわら焼味噌掛け,3.8,0,0
2019-02-04,1332,鶏のピリ辛焼き,3.0,0,0
2019-02-05,1010,手作りロースカツ,4.2,0,0
2019-02-06,885,ホタテクリ―ムシチュー,5.5,0,0
2019-02-09,1325,鶏の唐揚げおろしソース,7.8,0,0
2019-02-11,1016,ますのマスタードソース,6.3,0,0
2019-02-12,759,回鍋肉,6.4,0,0
2019-02-13,948,ロース甘味噌焼き,1.2,0,0
2019-02-16,1314,チンジャオロース,11.6,0,0
2019-02-17,1081,海老フライとホタテ串カツ,6.8,0,0
2019-02-18,1099,ハンバーグ和風きのこソース,7.3,0,0
2019-02-19,806,タンドリーチキン,5.4,0,0
2019-02-20,1182,酢豚orカレー,8.5,0,1
2019-02-23,1373,ポークハヤシ,6.6,0,0
2019-02-24,1121,マーボ豆腐,10.5,0,0
2019-02-25,1052,鶏チリソース,11.5,0,0
2019-02-26,989,白身魚唐揚げ野菜あんかけ,8.5,0,0
2019-02-27,782,手作りひれかつ,17.7,0,0
2019-03-02,1244,ハンバーグカレーソース,7.8,0,1
2019-03-03,956,回鍋肉,8.3,0,0
2019-03-04,1038,メンチカツ,6.1,0,0
2019-03-05,674,チキンクリームシチュー,6.7,0,0
2019-03-06,767,ボローニャ風カツ,7.0,0,0
2019-03-09,1217,海老クリーミ―クノーデル,7.6,0,0
2019-03-10,985,肉じゃが,8.7,0,0
2019-03-11,652,ビーフカレー,14.8,0,1
2019-03-12,783,手作りロースカツ,15.2,0,0
2019-03-13,776,カレイ野菜あんかけ,11.5,0,0
2019-03-16,1191,鶏の唐揚げおろしソース,14.0,0,0
2019-03-17,992,チーズ入りハンバーグ,18.9,0,0
2019-03-18,764,越冬キャベツのメンチカツ,12.6,0,0
2019-03-19,1018,鶏の親子煮,7.5,0,0
2019-03-23,1079,マーボ豆腐,17.4,0,0
2019-03-24,763,手作りひれかつ,18.9,0,0
2019-03-25,582,肉団子クリームシチュー,18.7,0,0
2019-03-26,542,ロース甘味噌焼き,12.4,0,0
2019-03-27,1031,キーマカレー,18.5,1,1
2019-03-30,763,青椒肉絲,17.5,0,0
2019-03-31,1160,メンチカツ,16.1,0,0
2019-04-01,925,肉じゃが,18.2,0,0
2019-04-02,1092,酢豚,14.3,0,0
2019-04-03,861,和風ソースハンバーグ,17.8,0,0
2019-04-06,1105,青梗菜牛肉炒め,13.8,0,0
2019-04-07,1011,肉団子のシチュー,20.1,0,0
2019-04-08,872,青椒肉絲,19.0,0,0
2019-04-09,919,鶏の唐揚げおろしソース,21.3,0,0
2019-04-10,1280,チキンカレー,16.5,1,1
2019-04-13,983,ビーフトマト煮,16.4,0,0
2019-04-14,787,ポーク生姜焼き,19.7,0,0
2019-04-15,593,カレイ唐揚げ野菜あんかけ,21.5,0,0
2019-04-16,489,牛丼風煮,20.1,0,0
2019-04-17,615,鶏の味噌漬け焼き,11.4,0,0
2019-04-20,994,牛肉筍煮,16.4,0,0
2019-04-21,699,マーボ豆腐,18.8,0,0
2019-04-22,563,手作りひれかつ,19.4,0,0
2019-04-23,583,鶏の照り焼きマヨ,19.9,0,0
2019-04-24,730,中華丼,20.8,1,0
2019-04-27,625,タンドリーチキン,22.7,0,0
2019-04-29,943,豚味噌メンチカツ,17.5,0,0
2019-04-30,667,マーボ茄子,24.0,0,0
2019-05-01,529,鶏の天ぷら,23.3,0,0
2019-05-06,910,肉じゃが,18.9,0,0
2019-05-07,573,メンチカツ,21.0,0,0
2019-05-08,658,手作りチキンカツ,23.4,0,0
2019-05-11,776,きのこソースハンバーグ,22.7,0,0
