title,year,runtime,genre,director,cast,gross
Naito obu za ribingu deddo: Zonbi no tanjô,1968,96 min,"Horror, Thriller",George A. Romero,"Duane Jones,Judith O'Dea,Karl Hardman,Marilyn Eastman,","89,029"
Puran 9 furomu autâ supêsu,1957,79 min,"Horror, Sci-Fi",Edward D. Wood Jr.,"Gregory Walcott,Tom Keene,Mona McKinnon,Duke Moore,",
The Little Shop of Horrors,1960,72 min,"Comedy, Horror",Roger Corman,"Jonathan Haze,Jackie Joseph,Mel Welles,Dick Miller,","1,400,000"
House on Haunted Hill,1959,75 min,"Horror, Mystery",William Castle,"Vincent Price,Carol Ohmart,Richard Long,Alan Marshal,",
Scarlet Street,1945,102 min,"Drama, Film-Noir, Thriller",Fritz Lang,"Edward G. Robinson,Joan Bennett,Dan Duryea,Margaret Lindsay,",
Chaplin no Ôgonkyô Jidai,1925,95 min,"Adventure, Comedy, Drama",Charles Chaplin,"Charles Chaplin,Mack Swain,Tom Murray,Henry Bergman,","5,450,000"
Detour,1945,68 min,"Crime, Drama, Film-Noir",Edgar G. Ulmer,"Tom Neal,Ann Savage,Claudia Drake,Edmund MacDonald,","16,172"
Il boia scarlatto,1965,87 min,Horror,Massimo Pupillo,"Mickey Hargitay,Walter Brandi,Luisa Baratto,Ralph Zucker,",
Woman on the Run,1950,77 min,"Crime, Drama, Film-Noir",Norman Foster,"Ann Sheridan,Dennis O'Keefe,Robert Keith,John Qualen,",
The Man from the Alamo,1953,79 min,"Drama, Western",Budd Boetticher,"Glenn Ford,Julie Adams,Chill Wills,Hugh O'Brian,",
The Wasp Woman,1959,63 min,"Horror, Sci-Fi",Roger Corman,"Susan Cabot,Anthony Eisley,Barboura Morris,William Roerick,",
Furankenshutain: musume no fukushu,1971,93 min,Horror,Mel Welles,"Aureliano Luppi,Joseph Cotten,Rosalba Neri,Paul Muller,Riccardo Pizzuti,",
Voyage to the Planet of Prehistoric Women,1968,78 min,"Adventure, Sci-Fi",Peter Bogdanovich,"Mamie Van Doren,Mary Marr,Paige Lee,Gennadi Vernov,",
Smash-Up: The Story of a Woman,1947,103 min,"Drama, Film-Noir, Music",Stuart Heisler,"Susan Hayward,Lee Bowman,Marsha Hunt,Eddie Albert,",
"20,000 Leagues Under the Sea",1916,105 min,"Action, Adventure, Sci-Fi",Stuart Paton,"Allen Holubar,Dan Hanlon,Edna Pendleton,Curtis Benton,","8,000,000"
The Fat Man,1951,78 min,"Crime, Drama, Film-Noir",William Castle,"J. Scott Smart,Julie London,Rock Hudson,Clinton Sundberg,",
Borderline,1950,88 min,"Crime, Drama, Film-Noir",William A. Seiter,"Fred MacMurray,Claire Trevor,Raymond Burr,José Torvay,",
The Flying Deuces,1939,69 min,"Comedy, War",A. Edward Sutherland,"Stan Laurel,Oliver Hardy,Jean Parker,Reginald Gardiner,",
The Sleeping City,1950,86 min,"Crime, Drama, Film-Noir",George Sherman,"Richard Conte,Coleen Gray,Richard Taber,John Alexander,",
Abraham Lincoln,1930,96 min,"Biography, Drama, History",D.W. Griffith,"Walter Huston,Una Merkel,William L. Thorne,Lucille La Verne,",
Letter of Introduction,1938,104 min,"Comedy, Drama",John M. Stahl,"Adolphe Menjou,Andrea Leeds,George Murphy,Edgar Bergen,",
The Death Kiss,1932,75 min,"Comedy, Crime, Drama",Edwin L. Marin,"Bela Lugosi,David Manners,Adrienne Ames,John Wray,",
"Salome, Where She Danced",1945,90 min,"Adventure, Drama, Music",Charles Lamont,"Yvonne De Carlo,Rod Cameron,David Bruce,Walter Slezak,",
Red Sundown,1956,81 min,"Action, Drama, Romance",Jack Arnold,"Rory Calhoun,Martha Hyer,Dean Jagger,Robert Middleton,",
The Midnight Story,1957,90 min,"Crime, Drama, Film-Noir",Joseph Pevney,"Tony Curtis,Marisa Pavan,Gilbert Roland,Jay C. Flippen,",
The Rage of Paris,1938,78 min,Comedy,Henry Koster,"Danielle Darrieux,Douglas Fairbanks Jr.,Mischa Auer,Louis Hayward,",
Baby Needs a New Pair of Shoes,1974,86 min,"Crime, Thriller",Bill Brame,"Frank DeKova,Paul Harris,Frances E. Williams,Reginald Farmer,",
Kid Dynamite,1943,66 min,"Comedy, Sport",Wallace Fox,"Leo Gorcey,Huntz Hall,Bobby Jordan,Gabriel Dell,",
Kidnapped,1948,81 min,"Adventure, Drama, Romance",William Beaudine,"Roddy McDowall,Sue England,Dan O'Herlihy,Roland Winters,",
Doctor's Orders,1934,68 min,,Norman Lee,"Leslie Fuller,John Mills,Marguerite Allan,Mary Jerrold,",
